unit,tra_meas,airp_pr,from,to,codes,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
PAS,PAS_CRD,UK_EGSS_DK_EKCH,London,København,"[""UK_EGGW_DK_EKCH"" ""UK_EGKK_DK_EKCH"" ""UK_EGLC_DK_EKCH"" ""UK_EGLL_DK_EKCH"" ""UK_EGSS_DK_EKCH""]",2494771,2203115,1879190,1735173,1636488,1656419,1478515,1497467,1470605,1457321,1407023,1353707,1258465,1265489,1231001,1185319,1238195,1229601,1152201,1131955,1039162,907885,868615,782601
PAS,PAS_CRD,UK_EGSS_CH_LSGG,London,Geneva,"[""UK_EGGW_CH_LSGG"" ""UK_EGKK_CH_LSGG"" ""UK_EGLC_CH_LSGG"" ""UK_EGLL_CH_LSGG"" ""UK_EGSS_CH_LSGG""]",2386475,2308120,2273335,2215783,2162385,2146061,1931994,1821418,1995520,1957013,1904428,1764997,1764404,1695709,1644979,1560441,1590749,1355740,1220836,1088913,1022985,1054495,1011291,1012618
PAS,PAS_CRD,UK_EGAC_UK_EGSS,Belfast,London,"[""UK_EGAA_UK_EGGW"" ""UK_EGAA_UK_EGKK"" ""UK_EGAA_UK_EGLL"" ""UK_EGAA_UK_EGSS"" ""UK_EGAC_UK_EGGW"" ""UK_EGAC_UK_EGKK"" ""UK_EGAC_UK_EGLC"" ""UK_EGAC_UK_EGLL"" ""UK_EGAC_UK_EGSS""]",2340811,2103804,1935783,1996146,1908743,1954160,2044487,2189565,2233131,2085890,2030354,2068283,2086513,2012577,2120183,1940071,1906950,1756239,1712188,,,,,
PAS,PAS_CRD,UK_EGSS_UK_EGAC,London,Belfast,"[""UK_EGGW_UK_EGAA"" ""UK_EGGW_UK_EGAC"" ""UK_EGKK_UK_EGAA"" ""UK_EGKK_UK_EGAC"" ""UK_EGLC_UK_EGAC"" ""UK_EGLL_UK_EGAA"" ""UK_EGLL_UK_EGAC"" ""UK_EGSS_UK_EGAA"" ""UK_EGSS_UK_EGAC""]",2338890,2101130,1934534,1996795,1866230,1889285,2040336,2182917,2233572,2081759,1966280,2066545,2118590,2094768,2144230,1899204,1934060,1849340,1635350,,,,,
PAS,PAS_CRD,UK_EGSS_IT_LIML,London,Milan,"[""UK_EGGW_IT_LIMC"" ""UK_EGKK_IT_LIMC"" ""UK_EGKK_IT_LIML"" ""UK_EGLC_IT_LIML"" ""UK_EGLL_IT_LIMC"" ""UK_EGLL_IT_LIML"" ""UK_EGSS_IT_LIMC"" ""UK_EGSS_IT_LIML""]",2255077,1883106,1745409,1853616,1839010,1839514,1731911,1434743,1376814,1547643,1466964,1323770,1296314,1351951,1432679,1549150,1638775,1566580,1336742,1253378,1158852,995167,876347,797564
PAS,PAS_CRD,UK_EGSS_FR_LFPO,London,Paris,"[""UK_EGGW_FR_LFPG"" ""UK_EGGW_FR_LFPO"" ""UK_EGKK_FR_LFPG"" ""UK_EGLC_FR_LFPG"" ""UK_EGLC_FR_LFPO"" ""UK_EGLL_FR_LFPG"" ""UK_EGLL_FR_LFPO"" ""UK_EGSS_FR_LFPG"" ""UK_EGSS_FR_LFPO""]",2200534,2171129,2030728,1821410,1740799,1784028,1624162,1725503,1948724,2230711,2379866,2385655,2680971,2769946,2894728,2668054,2913514,2827297,2808762,2819841,2910628,3254741,3963309,3645948
PAS,PAS_CRD,UK_EGSS_DE_EDDT,London,Berlin,"[""UK_EGGW_DE_EDDB"" ""UK_EGKK_DE_EDDB"" ""UK_EGKK_DE_EDDT"" ""UK_EGLC_DE_EDDT"" ""UK_EGLL_DE_EDDT"" ""UK_EGSS_DE_EDDB"" ""UK_EGSS_DE_EDDT""]",2089138,1886460,1614945,1473920,1341306,1366736,1285326,1039556,1188509,1127797,983542,513192,507075,504791,417676,445245,568384,450986,435739,512728,540976,465364,436243,407678
PAS,PAS_CRD,UK_EGSS_DE_EDFH,London,Frankfurt,"[""UK_EGKK_DE_EDDF"" ""UK_EGLC_DE_EDDF"" ""UK_EGLL_DE_EDDF"" ""UK_EGSS_DE_EDDF"" ""UK_EGSS_DE_EDFH""]",1952523,2008575,1974023,1931412,2010568,1900757,1727478,1687451,1803152,1991469,2106609,2063957,2107806,2178001,2243730,2218810,2293700,2106967,1905333,1772628,1671442,1596716,1497454,1366786
PAS,PAS_CRD,UK_EGSS_ES_LEMG,London,Málaga,"[""UK_EGGW_ES_LEMG"" ""UK_EGKK_ES_LEMG"" ""UK_EGLC_ES_LEMG"" ""UK_EGLL_ES_LEMG"" ""UK_EGSS_ES_LEMG""]",1927302,1724504,1696733,1561159,1552494,1765432,1699150,1844270,1887245,1890815,1877836,1993813,2110410,2143967,2082939,1859756,1649445,1386392,1213447,1172446,1095741,1092288,1057577,980812
PAS,PAS_CRD,UK_EGSS_IT_LIRF,London,Rome,"[""UK_EGGW_IT_LIRF"" ""UK_EGKK_IT_LIRF"" ""UK_EGLC_IT_LIRF"" ""UK_EGLL_IT_LIRF"" ""UK_EGSS_IT_LIRF""]",1898786,1859618,1686577,1524102,1502201,1530397,1409725,1373189,1182633,1137798,1038263,1108595,1083797,1099832,1176073,1466519,1427275,1324763,1288201,1215484,1133454,1084501,934710,810896
PAS,PAS_CRD,UK_EGSS_CH_LSZH,London,Zurich,"[""UK_EGGW_CH_LSZH"" ""UK_EGKK_CH_LSZH"" ""UK_EGLC_CH_LSZH"" ""UK_EGLL_CH_LSZH"" ""UK_EGSS_CH_LSZH""]",1777646,1742109,1711328,1708190,1677016,1631252,1577580,1549795,1577600,1399660,1300082,1207986,1300904,1464125,1513717,1478743,1528116,1403099,1301787,1427113,1309754,1113360,1082450,1061106
PAS,PAS_CRD,UK_EGSS_SE_ESSA,London,Stockholm,"[""UK_EGKK_SE_ESKN"" ""UK_EGKK_SE_ESSA"" ""UK_EGLC_SE_ESSA"" ""UK_EGLL_SE_ESSA"" ""UK_EGSS_SE_ESKN"" ""UK_EGSS_SE_ESSA""]",1741721,1718204,1666549,1589035,1508136,1529891,1388858,1171452,1314023,1282014,1255987,1215007,1156096,1131812,1206334,1227582,1463011,1373720,1322999,1141898,904062,850206,805745,741395
PAS,PAS_CRD,UK_EGLL_US_KLAX,London,Los Angeles,"[""UK_EGKK_US_KLAX"" ""UK_EGLL_US_KLAX""]",1670686,1607393,1354610,1339633,1313394,1298892,1188711,1235549,1460930,1405694,1429425,1382829,1345967,1180047,1261937,1258134,1463087,1406516,1298486,1176050,1086613,1085258,949715,969030
PAS,PAS_CRD,UK_EGSS_PT_LPPT,London,Lisbon,"[""UK_EGGW_PT_LPPT"" ""UK_EGKK_PT_LPPT"" ""UK_EGLL_PT_LPPT"" ""UK_EGSS_PT_LPPT""]",1662171,1604435,1436223,1095057,1060137,1069074,1017737,990503,1012074,1015998,910246,822247,849199,742520,799392,766930,865607,837999,740243,683663,579680,550599,536952,515312
PAS,PAS_CRD,UK_EGSS_TR_LTFJ,London,Istanbul,"[""UK_EGGW_TR_LTBA"" ""UK_EGGW_TR_LTFJ"" ""UK_EGKK_TR_LTBA"" ""UK_EGKK_TR_LTFJ"" ""UK_EGLL_TR_LTBA"" ""UK_EGSS_TR_LTBA"" ""UK_EGSS_TR_LTFJ""]",1619877,1677634,1516089,1345099,1319716,1008266,936154,1040562,805247,784683,577540,525458,495024,425925,470596,457226,517063,475913,461929,436765,401456,345867,321457,355959
PAS,PAS_CRD,UK_EGSS_ES_LEPA,London,Palma De Mallorca,"[""UK_EGGW_ES_LEPA"" ""UK_EGKK_ES_LEPA"" ""UK_EGLL_ES_LEPA"" ""UK_EGSS_ES_LEPA""]",1581237,1402099,1231435,1191052,1154852,1173414,998915,1117322,1273598,1294033,1262365,1216490,1434354,1507936,1461803,1441390,1366681,1161698,1096666,1011297,964243,955347,943005,871538
PAS,PAS_CRD,UK_EGLL_HK_VHHH,London,Hong Kong,"[""UK_EGKK_HK_VHHH"" ""UK_EGLL_HK_VHHH""]",1574741,1584486,1563714,1381916,1386541,1412750,1385626,1528886,1493546,1659589,1416789,1257997,1275528,1020385,1113072,944099,992955,918796,929581,907609,913501,826483,801542,
PAS,PAS_CRD,UK_EGSS_DE_EDDM,London,München,"[""UK_EGGW_DE_EDDM"" ""UK_EGKK_DE_EDDM"" ""UK_EGLC_DE_EDDM"" ""UK_EGLL_DE_EDDM"" ""UK_EGSS_DE_EDDM""]",1561096,1569378,1512805,1529028,1522585,1545633,1429422,1356588,1336893,1371354,1255873,1279884,1280501,1212272,1200051,1320316,1358334,1344402,1057306,1039077,932175,874965,728391,715939
PAS,PAS_CRD,UK_EGSS_HU_LHBP,London,Budapest,"[""UK_EGGW_HU_LHBP"" ""UK_EGKK_HU_LHBP"" ""UK_EGLL_HU_LHBP"" ""UK_EGSS_HU_LHBP""]",1497833,1313707,1151655,1063607,984770,921248,808638,798283,835650,798286,809705,905010,605493,336137,329780,346056,374281,369035,339461,322638,308699,270353,240322,200951
PAS,PAS_CRD,UK_EGLL_CA_CYYZ,London,Toronto,"[""UK_EGKK_CA_CYYZ"" ""UK_EGLL_CA_CYYZ""]",1441661,1229220,1221625,1214426,1208864,1186475,1127905,1153009,1214847,1288116,1298098,1340315,1317398,1179556,1209553,1174065,1290728,1268401,1178522,1142077,964711,915289,838597,800373
PAS,PAS_CRD,UK_EGSS_PT_LPFR,London,Faro,"[""UK_EGGW_PT_LPFR"" ""UK_EGKK_PT_LPFR"" ""UK_EGLL_PT_LPFR"" ""UK_EGSS_PT_LPFR""]",1328304,1154366,1076660,1003465,1021177,1174343,1145488,1276477,1219931,1140845,1063210,1062993,1115796,1059515,1166626,1015671,937452,895767,787734,800248,783156,754396,745232,674962
PAS,PAS_CRD,UK_EGSS_ES_LEAL,London,Alicante,"[""UK_EGGW_ES_LEAL"" ""UK_EGKK_ES_LEAL"" ""UK_EGLL_ES_LEAL"" ""UK_EGSS_ES_LEAL""]",1295974,1206165,1166124,1152546,1088783,1302247,1188169,1367457,1374357,1314969,1313857,1418665,1544564,1473332,1268246,1067838,939093,727617,665106,633768,602513,600215,627702,652709
PAS,PAS_CRD,UK_EGSS_FR_LFMN,London,Nice,"[""UK_EGGW_FR_LFMN"" ""UK_EGKK_FR_LFMN"" ""UK_EGLC_FR_LFMN"" ""UK_EGLL_FR_LFMN"" ""UK_EGSS_FR_LFMN""]",1292677,1300790,1260666,1261830,1260634,1100361,967947,1222869,1280571,1313315,1222430,1265529,1295356,1220490,1213371,1090131,1074174,915104,836723,663525,561943,542426,547473,500776
PAS,PAS_CRD,UK_EGSS_CZ_LKPR,London,Prague,"[""UK_EGGW_CZ_LKPR"" ""UK_EGKK_CZ_LKPR"" ""UK_EGLL_CZ_LKPR"" ""UK_EGSS_CZ_LKPR""]",1251173,1137313,934044,835185,873159,795971,783587,910511,949495,902397,992919,1060793,1069558,798751,663215,658782,606655,456940,451274,412833,368488,294809,257951,205698
PAS,PAS_CRD,UK_EGSS_ES_GCTS,London,Tenerife Island,"[""UK_EGGW_ES_GCTS"" ""UK_EGKK_ES_GCTS"" ""UK_EGSS_ES_GCTS""]",1243334,1093453,1054922,942277,867384,963239,829061,771402,737384,857982,933252,918666,978730,1082750,1169021,1155868,1024939,970508,920135,837944,799966,807659,828782,860149
PAS,PAS_CRD,UK_EGSS_PL_EPWA,London,Warsaw,"[""UK_EGGW_PL_EPMO"" ""UK_EGGW_PL_EPWA"" ""UK_EGKK_PL_EPWA"" ""UK_EGLL_PL_EPWA"" ""UK_EGSS_PL_EPMO"" ""UK_EGSS_PL_EPWA""]",1242139,1229764,1059504,959392,819318,743795,664413,661857,786336,846679,862372,696407,638612,403176,388807,338511,391214,400823,336838,293780,282621,237938,175287,159407
PAS,PAS_CRD,UK_EGLL_QA_OTHH,London,QA_OTHH,"[""UK_EGLL_QA_OTHH""]",1206752,1072037,682880,,,,,,,,,,,,,,,160524,156068,,,,,
PAS,PAS_CRD,UK_EGLL_SG_WSSS,London,Singapore,"[""UK_EGLL_SG_WSSS""]",1198301,1150240,1125125,1150299,1166982,1069706,1021734,1123503,1065975,1074672,1086322,996143,1006304,1009415,1051073,1067767,1003238,882358,756169,735999,688026,540240,534875,497501
PAS,PAS_CRD,UK_EGSS_EL_LGAV,London,EL_LGAV,"[""UK_EGGW_EL_LGAV"" ""UK_EGKK_EL_LGAV"" ""UK_EGLL_EL_LGAV"" ""UK_EGSS_EL_LGAV""]",1175775,1133337,985787,820841,863592,921525,979555,1148519,1095790,1000160,977670,965227,1035760,1001748,,,,1145538,1062500,,,,,
PAS,PAS_CRD,UK_EGSS_AT_LOWW,London,Vienna,"[""UK_EGGW_AT_LOWW"" ""UK_EGKK_AT_LOWW"" ""UK_EGLL_AT_LOWW"" ""UK_EGSS_AT_LOWW""]",1144983,991261,915903,848801,934445,916483,903110,876759,792487,744948,709836,777367,708996,684659,649375,718446,760239,795670,800226,758145,774055,751046,703698,651945
PAS,PAS_CRD,UK_EGSS_US_KORD,London,Chicago,"[""UK_EGLL_US_KORD"" ""UK_EGSS_US_KORD""]",1072875,1059686,1160192,1181569,1187837,1207429,1137499,1218286,1460270,1604946,1520779,1522096,1511653,1356147,1326579,1309425,1471624,1265121,1152252,1020477,810782,711914,563619,601150
PAS,PAS_CRD,UK_EGSS_NO_ENGM,London,Oslo,"[""UK_EGKK_NO_ENFB"" ""UK_EGKK_NO_ENGM"" ""UK_EGLL_NO_ENFB"" ""UK_EGLL_NO_ENGM"" ""UK_EGSS_NO_ENGM""]",1055525,1051261,1033772,1014241,939034,885972,842423,790207,753411,773542,769152,725942,696615,630353,692739,718582,810886,941560,758616,844097,712838,656550,612884,479530
PAS,PAS_CRD,UK_EGLL_IN_VIDP,London,New Delhi,"[""UK_EGKK_IN_VIDP"" ""UK_EGLL_IN_VIDP""]",1042307,1033842,1067486,1042667,918553,997477,918196,755746,716031,664934,599594,383767,291604,334874,308375,390849,264630,281359,374388,378580,381577,332427,272134,137056
PAS,PAS_CRD,UK_EGSS_RO_LROP,London,Bucharest,"[""UK_EGGW_RO_LRBS"" ""UK_EGGW_RO_LROP"" ""UK_EGLL_RO_LROP"" ""UK_EGSS_RO_LROP""]",1034689,923756,694243,534167,478005,495949,424393,354614,361753,223781,186200,138702,140999,132812,105562,,,,,,,,,20680
PAS,PAS_CRD,UK_EGLL_US_KMIA,London,Miami,"[""UK_EGKK_US_KMIA"" ""UK_EGLL_US_KMIA""]",1030010,1030673,1008257,1010183,1031276,953878,821983,846210,829763,833863,837465,878017,876173,875371,884247,842917,880076,903226,932673,879567,829181,803988,705719,852431
PAS,PAS_CRD,UK_EGLL_US_KSFO,London,San Francisco,"[""UK_EGLL_US_KSFO""]",1016616,1046981,937643,978381,965712,925722,860617,892735,985575,1032103,1027495,1005375,1035294,969489,940939,965461,1085926,1052152,1017628,988446,884943,837237,753405,621704
PAS,PAS_CRD,UK_EGCC_NL_EHAM,Manchester,Amsterdam,"[""UK_EGCC_NL_EHAM""]",1013727,853146,728428,687639,670397,613219,437785,470663,463376,561484,607925,589126,510356,487500,512395,525416,530987,517961,509518,473803,399744,365528,365011,337762
PAS,PAS_CRD,UK_EGCC_IE_EIDW,Manchester,Dublin,"[""UK_EGCC_IE_EIDW""]",979743,858582,756177,619998,591371,560651,551626,655926,682637,695718,676465,641681,625276,574408,668283,659459,631109,539881,631531,601074,578349,495212,362544,249009
PAS,PAS_CRD,UK_EGLL_US_KEWR,London,Newark,"[""UK_EGKK_US_KEWR"" ""UK_EGLL_US_KEWR""]",944639,1000189,1168357,1179521,1167650,1197850,1091604,1002986,1044336,1011993,996551,1066214,1016897,1001950,1129157,1096515,1333387,1257454,1244612,975071,817891,703884,671871,732416
PAS,PAS_CRD,UK_EGSS_IL_LLBG,London,Tel Aviv,"[""UK_EGGW_IL_LLBG"" ""UK_EGKK_IL_LLBG"" ""UK_EGLL_IL_LLBG"" ""UK_EGSS_IL_LLBG""]",939161,897438,808331,827484,766094,767101,729454,808444,628438,661263,628433,631032,601320,575531,580048,684812,808056,808674,746312,762817,729794,736277,647595,552958
PAS,PAS_CRD,UK_EGCC_AE_OMDB,Manchester,Dubai,"[""UK_EGCC_AE_OMDB""]",932649,860790,799631,768745,692580,637866,566198,521729,491982,495234,416201,370043,337122,269867,190092,169930,169010,130180,100830,91276,75859,,,
PAS,PAS_CRD,UK_EGPH_NL_EHAM,Edinburgh,Amsterdam,"[""UK_EGPD_NL_EHAM"" ""UK_EGPH_NL_EHAM""]",932027,927275,908662,853964,848344,831367,742106,706270,754959,782346,733811,657435,691215,684408,649379,627416,471907,439050,425140,384334,279986,210534,187070,151741
PAS,PAS_CRD,UK_EGLL_AE_OMAA,London,Abu Dhabi,"[""UK_EGKK_AE_OMAA"" ""UK_EGLL_AE_OMAA""]",928813,835977,642485,638493,587863,578114,503521,525640,443205,329549,375561,444494,324250,219260,248722,206416,179831,170147,170369,173306,164505,145931,165542,143785
PAS,PAS_CRD,UK_EGBB_IE_EIDW,Birmingham,Dublin,"[""UK_EGBB_IE_EIDW""]",922077,780959,662316,561600,524512,534938,534993,581350,625160,570446,574919,481559,610451,572845,556792,546654,563276,569018,599142,593989,540191,444522,339967,185096
PAS,PAS_CRD,UK_EGLL_IN_VABB,London,Mumbai,"[""UK_EGLL_IN_VABB""]",916714,949485,1048492,1046004,891279,950819,957233,861794,840425,1005900,1006862,725387,448022,353908,326870,344511,364858,355784,335350,341416,341649,328178,315025,276589
PAS,PAS_CRD,UK_EGSS_FI_EFHK,London,Helsinki,"[""UK_EGKK_FI_EFHK"" ""UK_EGLL_FI_EFHF"" ""UK_EGLL_FI_EFHK"" ""UK_EGSS_FI_EFHF"" ""UK_EGSS_FI_EFHK""]",904467,873347,840560,750236,651932,690864,660002,659795,561744,474203,441555,435622,437921,421953,439345,574241,600178,512294,459842,416071,396069,351920,332831,320745
PAS,PAS_CRD,UK_EGLL_US_KBOS,London,Boston,"[""UK_EGKK_US_KBOS"" ""UK_EGLL_US_KBOS""]",892832,858358,891078,893750,996468,1030875,866414,850621,842511,888887,931456,928529,927521,923602,1004902,1063376,1149437,1152289,1043665,928778,832041,898525,795540,782396
PAS,PAS_CRD,UK_EGLL_ZA_FAOR,London,Olifants River Bridge,"[""UK_EGLL_ZA_FAOR""]",883135,,,,,,,,,,,,,,,,,,,,,,,
PAS,PAS_CRD,UK_EGSS_IT_LIPZ,London,Venice,"[""UK_EGKK_IT_LIPZ"" ""UK_EGLL_IT_LIPZ"" ""UK_EGSS_IT_LIPZ""]",881267,779168,702927,677702,652088,650087,422295,575726,541996,446508,422440,482330,487835,460651,421905,500099,497598,530851,408932,359264,331462,332331,291410,182237
PAS,PAS_CRD,UK_EGCC_ES_GCTS,Manchester,Tenerife Island,"[""UK_EGCC_ES_GCTS""]",862942,726193,742908,695720,675207,672837,598187,613788,712801,707222,825005,901509,928397,927947,946558,950803,873095,859337,828269,728841,683660,742207,794584,776768
PAS,PAS_CRD,UK_EGSS_IE_EICK,London,Cork,"[""UK_EGKK_IE_EICK"" ""UK_EGLL_IE_EICK"" ""UK_EGSS_IE_EICK""]",849852,823266,773987,749434,782513,799196,788224,878955,929534,898606,1039079,1050516,776953,802376,802574,769389,753800,745039,690218,652333,534165,454866,408840,394800
PAS,PAS_CRD,UK_EGLL_US_KIAD,London,Washington,"[""UK_EGLL_US_KIAD""]",849690,866457,884654,931654,953954,989211,920707,1009187,1041182,1055058,1040222,1074148,1080493,1017964,987142,933928,1065629,1050455,961451,901204,785900,688691,669989,666748
PAS,PAS_CRD,UK_EGSS_DE_EDDH,London,Hamburg,"[""UK_EGGW_DE_EDDH"" ""UK_EGKK_DE_EDDH"" ""UK_EGLC_DE_EDDH"" ""UK_EGLL_DE_EDDH"" ""UK_EGSS_DE_EDDH""]",825095,836293,802842,790818,782225,735168,697485,549912,462185,574074,594480,467321,475249,457722,493990,516425,686505,593871,596390,558156,531747,494492,500808,518187
PAS,PAS_CRD,UK_EGSS_IS_BIKF,London,Reykjavík,"[""UK_EGGW_IS_BIKF"" ""UK_EGKK_IS_BIKF"" ""UK_EGLL_IS_BIKF"" ""UK_EGSS_IS_BIKF""]",823175,653503,538821,400811,314475,320605,276568,201471,291268,302379,303364,322172,323348,187671,180860,170924,174401,146736,132286,120663,98353,81170,76142,
PAS,PAS_CRD,UK_EGCC_ES_LEAL,Manchester,Alicante,"[""UK_EGCC_ES_LEAL""]",808069,631597,597861,617418,492345,571665,448861,489546,620787,656598,731942,757275,806785,870590,754739,728394,639262,612447,628831,545227,498245,496847,468408,379808
PAS,PAS_CRD,UK_EGSS_DE_EDDL,London,Düsseldorf,"[""UK_EGKK_DE_EDDL"" ""UK_EGLC_DE_EDDL"" ""UK_EGLL_DE_EDDL"" ""UK_EGSS_DE_EDDL""]",792981,816849,924215,889083,856557,841351,812432,665876,710679,751707,805855,700112,756020,572999,699200,759710,791694,692206,686375,690698,721244,760066,660973,659035
PAS,PAS_CRD,UK_EGKK_US_KSFB,London,Orlando,"[""UK_EGKK_US_KMCO"" ""UK_EGKK_US_KSFB""]",791669,737221,705046,746195,769704,754005,789821,844232,953477,948180,937373,1086709,1121503,1045164,989634,1113717,1226768,1132997,1052853,912238,868924,758866,720642,743277
PAS,PAS_CRD,UK_EGLL_TH_VTBS,London,Bangkok,"[""UK_EGLL_TH_VTBD"" ""UK_EGLL_TH_VTBS""]",773105,599558,568774,635464,636840,579174,598080,599574,593428,672199,664868,669171,671271,657930,679836,680853,534272,482029,403054,354838,404374,346894,335198,336885
PAS,PAS_CRD,UK_EGCC_ES_LEPA,Manchester,Palma De Mallorca,"[""UK_EGCC_ES_LEPA""]",758083,666735,654835,679964,647997,682801,500191,568537,718031,734916,808908,732640,814604,848198,780604,813807,777818,815695,852506,804199,722243,773001,836650,731455
PAS,PAS_CRD,UK_EGSS_MT_LMML,London,Luqa,"[""UK_EGGW_MT_LMML"" ""UK_EGKK_MT_LMML"" ""UK_EGLL_MT_LMML"" ""UK_EGSS_MT_LMML""]",742085,646687,627543,562677,546456,581888,588191,636577,682600,620075,521147,542664,536939,526719,509661,520480,528187,476448,472601,475393,427917,450584,487258,518801
PAS,PAS_CRD,UK_EGLL_CA_CYVR,London,Vancouver,"[""UK_EGKK_CA_CYVR"" ""UK_EGLL_CA_CYVR""]",738925,653319,662043,608481,637723,611028,601799,594701,658892,703882,731416,738242,619070,571351,490173,562440,631035,593795,571096,451727,477052,411837,442598,439046
PAS,PAS_CRD,UK_EGSS_ES_GCRR,London,Lanzarote Island,"[""UK_EGGW_ES_GCRR"" ""UK_EGKK_ES_GCRR"" ""UK_EGSS_ES_GCRR""]",738627,676249,631793,537844,495663,524600,462159,292760,369118,367289,384963,432372,456199,563779,489821,448702,402549,437565,443398,405806,373236,362106,364228,342429
