unit,tra_meas,tra_cov,schedule-time,geo,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
FLIGHT,CAF_PAS_ARR,TOTAL,N_SCHED,FI,4307,4815,6228,6528,6760,8394,7544,6552,8570,8147,7401,6455,5958,5235,4614,3803,3548,3782,4433,473,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,SCHED,FI,101356,102808,103247,104614,111061,124534,112023,113042,117616,114770,116778,114671,116045,110552,105484,110417,108521,105294,112312,96,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,TOT,FI,105663,107623,109475,111142,117821,132928,119567,119594,126186,122917,124179,121126,122003,115787,110098,114220,112069,109076,116745,569,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,N_SCHED,FR,37165,26976,30690,28619,29481,36280,37464,56278,60634,65055,58371,103591,100946,49742,48894,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,SCHED,FR,420824,416448,405175,402750,412740,414931,394715,414669,455846,449191,432567,366984,366881,408024,407936,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,TOT,FR,457989,443424,435865,431369,442221,451211,432179,470947,516480,514246,490938,470575,467827,457766,456830,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,N_SCHED,FR,20610,17959,19640,17764,17309,19670,18163,24610,32281,29673,29945,71191,54310,27142,25599,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,SCHED,FR,267112,256847,248206,249511,263051,263839,248150,270753,294324,295992,282897,227385,247321,269651,268732,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,TOT,FR,287722,274806,267846,267275,280360,283509,266313,295363,326605,325665,312842,298576,301631,296793,294331,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU27,N_SCHED,FR,20052,17441,19055,17239,16663,18968,17474,23653,31207,28681,28935,70235,53775,26997,25531,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU27,SCHED,FR,265274,255317,246774,248008,261487,262302,246838,269516,293028,294681,281720,226536,246805,269159,268282,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU27,TOT,FR,285326,272758,265829,265247,278150,281270,264312,293169,324235,323362,310655,296771,300580,296156,293813,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,N_SCHED,FR,16555,9017,11050,10855,12172,16610,19301,31668,28353,35382,28426,32400,46636,22600,23295,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,SCHED,FR,153712,159601,156969,153239,149689,151092,146565,143916,161522,153199,149670,139599,119560,138373,139204,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,TOT,FR,170267,168618,168019,164094,161861,167702,165866,175584,189875,188581,178096,171999,166196,160973,162499,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU27,N_SCHED,FR,17113,9535,11635,11380,12818,17312,19990,32625,29427,36374,29436,33356,47171,22745,23363,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU27,SCHED,FR,155550,161131,158401,154742,151253,152629,147877,145153,162818,154510,150847,140448,120076,138865,139654,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU27,TOT,FR,172663,170666,170036,166122,164071,169941,167867,177778,192245,190884,180283,173804,167247,161610,163017,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,N_SCHED,FR,10165,9647,8716,9825,10540,12613,11296,37452,32076,27812,24779,34727,50047,24834,20014,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,SCHED,FR,279269,279885,284568,301894,306519,306099,293888,312170,344793,347939,357713,341114,326128,381423,399363,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,TOT,FR,289434,289532,293284,311719,317059,318712,305184,349622,376869,375751,382492,375841,376175,406257,419377,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,N_SCHED,FR,47330,36623,39406,38444,40021,48893,48760,93730,92710,92867,83150,138318,150993,74576,68908,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,SCHED,FR,700093,696333,689743,704644,719259,721030,688603,726839,800639,797130,790280,708098,693009,789447,807299,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,TOT,FR,747423,732956,729149,743088,759280,769923,737363,820569,893349,889997,873430,846416,844002,864023,876207,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,N_SCHED,HR,2439,2216,2569,2741,2823,3412,4221,4700,5477,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,SCHED,HR,29729,26673,24990,23467,22349,21346,20918,19095,18955,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,TOT,HR,32168,28889,27559,26208,25172,24758,25139,23795,24432,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,N_SCHED,HR,2016,1830,2026,2007,1846,2320,2716,3357,3720,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,SCHED,HR,23149,20604,19808,18621,17534,17035,16999,15667,15726,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,TOT,HR,25165,22434,21834,20628,19380,19355,19715,19024,19446,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,N_SCHED,HR,423,386,543,734,977,1092,1505,1343,1757,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,SCHED,HR,6580,6069,5182,4846,4815,4311,3919,3428,3229,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,TOT,HR,7003,6455,5725,5580,5792,5403,5424,4771,4986,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,N_SCHED,HR,114,153,102,114,129,258,394,719,818,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,SCHED,HR,8086,7473,7614,6795,7168,7440,6866,7499,7016,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,TOT,HR,8200,7626,7716,6909,7297,7698,7260,8218,7834,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,N_SCHED,HR,2553,2369,2671,2855,2952,3670,4615,5419,6295,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,SCHED,HR,37815,34146,32604,30262,29517,28786,27784,26594,25971,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,TOT,HR,40368,36515,35275,33117,32469,32456,32399,32013,32266,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,N_SCHED,HU,1080,1389,1436,1338,1403,1432,1758,1770,2606,2736,2888,3503,4043,3612,3996,4701,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,SCHED,HU,42071,38696,35985,34519,36437,47627,45109,47576,49636,51952,52136,51297,44843,34683,29334,29418,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,TOT,HU,43151,40085,37421,35857,37840,49059,46867,49346,52242,54688,55024,54800,48886,38295,33330,34119,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,N_SCHED,HU,649,656,622,532,486,531,698,847,1320,1426,1596,2028,1913,1963,2588,3320,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,SCHED,HU,34196,30740,28671,28670,31104,37049,35263,37424,38870,41138,41946,41677,35687,26480,22842,22292,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,TOT,HU,34845,31396,29293,29202,31590,37580,35961,38271,40190,42564,43542,43705,37600,28443,25430,25612,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU27,N_SCHED,HU,646,644,609,528,481,528,697,844,1305,1414,1584,1981,1898,1947,2572,3309,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU27,SCHED,HU,34196,30714,28347,28309,30841,36294,34532,36617,38168,40045,40819,40485,34432,25645,22328,22044,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU27,TOT,HU,34842,31358,28956,28837,31322,36822,35229,37461,39473,41459,42403,42466,36330,27592,24900,25353,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,N_SCHED,HU,431,733,814,806,917,901,1060,923,1286,1310,1292,1475,2130,1649,1408,1381,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,SCHED,HU,7875,7956,7314,5849,5333,10578,9846,10152,10766,10814,10190,9620,9156,8203,6492,7126,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,TOT,HU,8306,8689,8128,6655,6250,11479,10906,11075,12052,12124,11482,11095,11286,9852,7900,8507,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU27,N_SCHED,HU,434,745,827,810,922,904,1061,926,1301,1322,1304,1522,2145,1665,1424,1392,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU27,SCHED,HU,7875,7982,7638,6210,5596,11333,10577,10959,11468,11907,11317,10812,10411,9038,7006,7374,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU27,TOT,HU,8309,8727,8465,7020,6518,12237,11638,11885,12769,13229,12621,12334,12556,10703,8430,8766,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,N_SCHED,HU,18,0,1,2,4,7,1,0,1,4,12,20,1,2,1,2,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,SCHED,HU,2,0,0,0,0,0,0,0,0,0,239,0,1,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,TOT,HU,20,0,1,2,4,7,1,0,1,4,251,20,2,2,1,2,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,N_SCHED,HU,1098,1389,1437,1340,1407,1439,1759,1770,2607,2740,2900,3523,4044,3614,3997,4703,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,SCHED,HU,42073,38696,35985,34519,36437,47627,45109,47576,49636,51952,52375,51297,44844,34683,29334,29418,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,TOT,HU,43171,40085,37422,35859,37844,49066,46868,49346,52243,54692,55275,54820,48888,38297,33331,34121,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,N_SCHED,IE,1837,2183,2050,3184,4893,5988,6099,6565,11433,12369,11660,10984,9719,9393,10061,9436,9654,7946,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,SCHED,IE,116813,106888,101311,93808,90810,88930,85671,94214,108911,103367,97120,91609,80541,79728,78601,79259,73628,70516,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,TOT,IE,118650,109071,103361,96992,95703,94918,91770,100779,120344,115736,108780,102593,90260,89121,88662,88695,83282,78462,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,N_SCHED,IE,1621,1808,1622,2680,3820,4556,4527,5509,8918,9762,9318,8843,8552,8183,9072,8409,8644,6888,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,SCHED,IE,104578,95413,91394,85264,83015,81263,78589,86536,100366,95540,90677,86487,75807,75236,73611,73661,68231,64974,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,TOT,IE,106199,97221,93016,87944,86835,85819,83116,92045,109284,105302,99995,95330,84359,83419,82683,82070,76875,71862,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU27,N_SCHED,IE,1577,1761,1576,2625,3761,4499,4464,5407,8740,9574,9053,8597,8332,8008,8974,8364,8610,6874,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU27,SCHED,IE,104279,95135,91156,85051,82889,81095,78416,86367,100188,95318,90585,86403,75761,75231,73600,73636,68223,64968,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU27,TOT,IE,105856,96896,92732,87676,86650,85594,82880,91774,108928,104892,99638,95000,84093,83239,82574,82000,76833,71842,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,N_SCHED,IE,216,375,428,504,1073,1432,1572,1056,2515,2607,2342,2141,1167,1210,989,1027,1010,1058,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,SCHED,IE,12235,11475,9917,8544,7795,7667,7082,7678,8545,7827,6443,5122,4734,4492,4990,5598,5397,5542,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,TOT,IE,12451,11850,10345,9048,8868,9099,8654,8734,11060,10434,8785,7263,5901,5702,5979,6625,6407,6600,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU27,N_SCHED,IE,260,422,474,559,1132,1489,1635,1158,2693,2795,2607,2387,1387,1385,1087,1072,1044,1072,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU27,SCHED,IE,12534,11753,10155,8757,7921,7835,7255,7847,8723,8049,6535,5206,4780,4497,5001,5623,5405,5548,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU27,TOT,IE,12794,12175,10629,9316,9053,9324,8890,9005,11416,10844,9142,7593,6167,5882,6088,6695,6449,6620,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,N_SCHED,IE,24,25,25,49,202,337,335,299,809,934,1157,1312,1509,2278,1488,1857,1816,1549,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,SCHED,IE,2191,2150,2166,2153,2205,3868,9465,12493,15299,16433,16410,15485,12712,13287,12668,13295,12723,11119,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,TOT,IE,2215,2175,2191,2202,2407,4205,9800,12792,16108,17367,17567,16797,14221,15565,14156,15152,14539,12668,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,N_SCHED,IE,1861,2208,2075,3233,5095,6325,6434,6864,12242,13303,12817,12296,11228,11671,11549,11293,11470,9495,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,SCHED,IE,119004,109038,103477,95961,93015,92798,95136,106707,124210,119800,113530,107094,93253,93015,91269,92554,86351,81635,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,TOT,IE,120865,111246,105552,99194,98110,99123,101570,113571,136452,133103,126347,119390,104481,104686,102818,103847,97821,91130,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,N_SCHED,IS,787,648,556,503,541,540,485,698,985,1086,729,849,667,711,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,SCHED,IS,20863,15350,12794,10699,9235,8415,7086,6675,7748,8407,7218,6259,6111,4975,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,TOT,IS,21650,15998,13350,11202,9776,8955,7571,7373,8733,9493,7947,7108,6778,5686,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,N_SCHED,IS,:,:,:,:,:,:,:,:,:,:,:,28,67,27,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,SCHED,IS,:,:,:,:,:,:,:,:,:,:,:,1,3,3,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,TOT,IS,:,:,:,:,:,:,:,:,:,:,:,29,70,30,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,N_SCHED,IS,787,648,556,503,541,540,485,698,985,1086,729,877,734,738,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,SCHED,IS,20863,15350,12794,10699,9235,8415,7086,6675,7748,8407,7218,6260,6114,4978,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,TOT,IS,21650,15998,13350,11202,9776,8955,7571,7373,8733,9493,7947,7137,6848,5716,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,N_SCHED,IT,11723,13282,15907,17461,21310,23768,30324,29250,37629,41206,39478,44086,43039,40930,36244,23470,28391,25221,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,SCHED,IT,388394,366000,345911,340701,348700,348512,339357,323768,339129,356102,320769,299779,277274,263343,214227,211483,43971,34879,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,TOT,IT,400117,379282,361818,358162,370010,372280,369681,353018,376758,397308,360247,343865,320313,304273,250471,234953,72362,60100,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,N_SCHED,IT,8459,8605,8287,8730,10035,13419,15280,14735,19966,23241,23285,27281,25706,24313,22325,13966,16067,14859,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,SCHED,IT,304193,285497,266988,261614,274108,277785,270048,262094,276532,293452,262876,244455,231288,219516,175646,169734,38873,28999,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,TOT,IT,312652,294102,275275,270344,284143,291204,285328,276829,296498,316693,286161,271736,256994,243829,197971,183700,54940,43858,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU27,N_SCHED,IT,8371,8539,8189,8619,9924,13138,15073,14570,19757,22901,22908,26880,25441,24111,22221,13916,16006,14822,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU27,SCHED,IT,302745,284166,265884,260804,273311,276918,269196,261547,275765,292083,261609,243448,230842,219173,175359,169387,38722,28785,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU27,TOT,IT,311116,292705,274073,269423,283235,290056,284269,276117,295522,314984,284517,270328,256283,243284,197580,183303,54728,43607,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,N_SCHED,IT,3264,4677,7620,8731,11275,10349,15044,14515,17663,17965,16193,16805,17333,16617,13919,9504,12324,10362,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,SCHED,IT,84201,80503,78923,79087,74592,70727,69309,61674,62597,62650,57893,55324,45986,43827,38581,41749,5098,5880,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,TOT,IT,87465,85180,86543,87818,85867,81076,84353,76189,80260,80615,74086,72129,63319,60444,52500,51253,17422,16242,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU27,N_SCHED,IT,3352,4743,7718,8842,11386,10630,15251,14680,17872,18305,16570,17206,17598,16819,14023,9554,12385,10399,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU27,SCHED,IT,85649,81834,80027,79897,75389,71594,70161,62221,63364,64019,59160,56331,46432,44170,38868,42096,5249,6094,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU27,TOT,IT,89001,86577,87745,88739,86775,82224,85412,76901,81236,82324,75730,73537,64030,60989,52891,51650,17634,16493,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,N_SCHED,IT,1828,1562,2306,2212,2773,3453,5176,6846,9011,14052,13622,14278,18979,11036,9677,3379,3042,3046,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,SCHED,IT,240623,241137,231426,252435,278029,297666,294478,296840,300857,318663,286930,268074,266667,277342,240383,224426,38554,35025,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,TOT,IT,242451,242699,233732,254647,280802,301119,299654,303686,309868,332715,300552,282352,285646,288378,250060,227805,41596,38101,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,UNK,IT,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,30,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,N_SCHED,IT,13551,14844,18213,19673,24083,27221,35500,36096,46640,55258,53100,58364,62018,51966,45921,26849,31433,28267,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,SCHED,IT,629017,607137,577337,593136,626729,646178,633835,620608,639986,674765,607699,567853,543941,540685,454610,435909,82525,69904,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,TOT,IT,642568,621981,595550,612809,650812,673399,669335,656704,686626,730023,660799,626217,605959,592651,500531,462758,113958,98201,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,UNK,IT,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,30,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,N_SCHED,LT,1621,1454,1606,1523,1302,1329,1261,1380,1868,1642,1392,1134,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,SCHED,LT,20862,19412,18169,16006,16305,15453,14626,11618,17911,15545,14505,13778,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,TOT,LT,22483,20866,19775,17529,17607,16782,15887,12998,19779,17187,15897,14912,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,N_SCHED,LT,878,713,752,775,649,568,425,523,681,674,571,437,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,SCHED,LT,16510,15442,14776,13324,13562,13571,13231,10505,15629,13895,13072,12469,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU,TOT,LT,17388,16155,15528,14099,14211,14139,13656,11028,16310,14569,13643,12906,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU27,N_SCHED,LT,876,705,731,757,635,566,416,508,665,661,554,426,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU27,SCHED,LT,16510,15442,14776,13324,13562,13571,13231,10505,15629,13895,13055,12469,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_IEU27,TOT,LT,17386,16147,15507,14081,14197,14137,13647,11013,16294,14556,13609,12895,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,N_SCHED,LT,743,741,854,748,653,761,836,857,1187,968,821,697,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,SCHED,LT,4352,3970,3393,2682,2743,1882,1395,1113,2282,1650,1433,1309,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU,TOT,LT,5095,4711,4247,3430,3396,2643,2231,1970,3469,2618,2254,2006,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU27,N_SCHED,LT,745,749,875,766,667,763,845,872,1203,981,838,708,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU27,SCHED,LT,4352,3970,3393,2682,2743,1882,1395,1113,2282,1650,1450,1309,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL_XEU27,TOT,LT,5097,4719,4268,3448,3410,2645,2240,1985,3485,2631,2288,2017,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,N_SCHED,LT,14,18,7,17,7,6,16,8,29,22,19,49,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,SCHED,LT,0,0,6,0,1,4,0,3,70,41,184,1115,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,TOT,LT,14,18,13,17,8,10,16,11,99,63,203,1164,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,N_SCHED,LT,1635,1472,1613,1540,1309,1335,1277,1388,1897,1664,1411,1183,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,SCHED,LT,20862,19412,18175,16006,16306,15457,14626,11621,17981,15586,14689,14893,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,TOT,LT,22497,20884,19788,17546,17615,16792,15903,13009,19878,17250,16100,16076,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,N_SCHED,LU,5269,3062,2680,2438,2325,1705,675,411,697,1100,243,406,172,154,603,336,385,493,1060,1141,1534,1371,1340,2761
FLIGHT,CAF_PAS_ARR,INTL,SCHED,LU,17424,18196,18323,17967,17822,17922,17066,17332,18876,18077,19676,19191,19582,954,898,370,981,880,3027,3473,2561,2558,2196,12825
FLIGHT,CAF_PAS_ARR,INTL,TOT,LU,22693,21258,21003,20405,20147,19627,17741,17743,19573,19177,19919,19597,19754,1108,1501,706,1366,1373,4087,4614,4095,3929,3536,15586
FLIGHT,CAF_PAS_ARR,INTL_IEU,N_SCHED,LU,4784,2548,2197,2137,1865,1478,521,278,517,801,112,264,74,98,375,241,335,394,902,1052,1404,1273,1292,1304
FLIGHT,CAF_PAS_ARR,INTL_IEU,SCHED,LU,15480,15990,15954,15556,15313,15640,14797,15119,16768,16081,17821,17413,17527,705,880,360,931,877,3015,3432,2544,2517,2128,10499
FLIGHT,CAF_PAS_ARR,INTL_IEU,TOT,LU,20264,18538,18151,17693,17178,17118,15318,15397,17285,16882,17933,17677,17601,803,1255,601,1266,1271,3917,4484,3948,3790,3420,11803
FLIGHT,CAF_PAS_ARR,INTL_IEU27,N_SCHED,LU,4781,2543,2195,2131,1861,1471,520,277,514,799,105,262,74,96,375,241,335,392,902,1050,1400,1273,1292,1304
FLIGHT,CAF_PAS_ARR,INTL_IEU27,SCHED,LU,15454,15962,15928,15529,15310,15638,14789,15092,16743,16059,17796,17392,17506,681,880,360,931,877,3015,3432,2544,2517,2128,10499
FLIGHT,CAF_PAS_ARR,INTL_IEU27,TOT,LU,20235,18505,18123,17660,17171,17109,15309,15369,17257,16858,17901,17654,17580,777,1255,601,1266,1269,3917,4482,3944,3790,3420,11803
FLIGHT,CAF_PAS_ARR,INTL_XEU,N_SCHED,LU,485,514,483,301,460,227,154,133,180,299,131,142,98,56,228,95,50,99,158,89,130,98,48,1457
FLIGHT,CAF_PAS_ARR,INTL_XEU,SCHED,LU,1944,2206,2369,2411,2509,2282,2269,2213,2108,1996,1855,1778,2055,249,18,10,50,3,12,41,17,41,68,2326
FLIGHT,CAF_PAS_ARR,INTL_XEU,TOT,LU,2429,2720,2852,2712,2969,2509,2423,2346,2288,2295,1986,1920,2153,305,246,105,100,102,170,130,147,139,116,3783
