unit,tra_meas,airp_pr,from,to,codes,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
PAS,PAS_CRD,UK_EGPF_UK_EGLL,Glasgow,London,,893796,908016,871270,871317,830501,821241,1004369,1080112,1144118,1207143,1283882,1425525,1535928,1465648,1448234,1391732,1537016,1482582,1484311,,,,,
PAS,PAS_CRD,UK_EGLL_ZA_FAOR,London,Olifants River Bridge,,883135,,,,,,,,,,,,,,,,,,,,,,,
PAS,PAS_CRD,UK_EGCC_ES_GCTS,Manchester,Tenerife Island,,862942,726193,742908,695720,675207,672837,598187,613788,712801,707222,825005,901509,928397,927947,946558,950803,873095,859337,828269,728841,683660,742207,794584,776768
PAS,PAS_CRD,UK_EGAA_UK_EGKK,Belfast,London,,862688,474821,438329,389342,354795,342819,297146,310341,347356,383774,362840,354901,313254,219651,,,,,,,,,,
PAS,PAS_CRD,UK_EGKK_ES_GCTS,London,Tenerife Island,,861870,749836,732717,627896,550924,606516,535636,527222,604143,570415,621678,667683,699908,842853,924434,865637,754954,715775,701072,653662,618177,631582,648602,711903
PAS,PAS_CRD,UK_EGKK_UK_EGAA,London,Belfast,,858757,470344,434220,385726,353394,341861,296876,310090,347399,383674,362266,354945,313580,219761,,,,,,,,,,
PAS,PAS_CRD,UK_EGLL_US_KIAD,London,Washington,,849690,866457,884654,931654,953954,989211,920707,1009187,1041182,1055058,1040222,1074148,1080493,1017964,987142,933928,1065629,1050455,961451,901204,785900,688691,669989,666748
PAS,PAS_CRD,UK_EGKK_CH_LSGG,London,Geneva,,844341,845261,816778,782886,740066,710009,624078,647576,701959,687007,712316,643246,624978,588909,522723,464081,359044,268091,239675,241027,250311,274019,274618,298605
PAS,PAS_CRD,UK_EGPH_UK_EGSS,Edinburgh,London,,837211,622272,359830,326495,344691,388693,330078,373117,401604,449061,469478,521026,498266,498266,510853,486440,452136,474712,267118,,,,,
PAS,PAS_CRD,UK_EGSS_UK_EGPH,London,Edinburgh,,837023,622630,360378,327268,347793,391101,330905,374203,402689,449119,469840,520826,499812,499933,513380,486931,450933,470725,265448,,,,,
PAS,PAS_CRD,UK_EGKK_ES_LEAL,London,Alicante,,824621,768804,768239,714548,579917,738593,672062,778375,726807,724159,749073,798655,834884,851120,751861,672869,634287,518069,475193,454641,422986,492153,523205,461532
PAS,PAS_CRD,UK_EGLL_DE_EDDT,London,Berlin,,811434,822559,774947,773262,670785,694515,596363,513693,404828,386828,359783,372175,380970,360842,417676,384309,430321,450986,435739,437523,459894,465364,436243,407678
PAS,PAS_CRD,UK_EGKK_PT_LPFR,London,Faro,,809910,750890,711212,659649,659240,685514,668761,814108,803713,748196,679504,686751,705881,661189,668304,669992,646204,599615,607567,593901,596414,628014,616492,562123
PAS,PAS_CRD,UK_EGCC_ES_LEAL,Manchester,Alicante,,808069,631597,597861,617418,492345,571665,448861,489546,620787,656598,731942,757275,806785,870590,754739,728394,639262,612447,628831,545227,498245,496847,468408,379808
PAS,PAS_CRD,UK_EGKK_ES_LEPA,London,Palma De Mallorca,,802515,711776,691024,687073,625245,615121,503286,578269,675926,687201,694186,652632,819886,893975,883624,832341,788432,755898,698391,633020,607625,583054,580002,534211
PAS,PAS_CRD,UK_EGLL_US_KBOS,London,Boston,,798119,858358,891078,893750,996468,1030875,866414,850621,842511,888887,931456,928529,927521,923602,1004902,828594,900988,851247,754951,696443,593380,541438,426536,374106
PAS,PAS_CRD,UK_EGLL_PT_LPPT,London,Lisbon,,795987,768043,749677,753106,731566,745611,727336,697472,672027,662208,592441,622395,656729,611907,632162,634524,600718,631136,633049,587934,579680,550599,536952,515312
PAS,PAS_CRD,UK_EGLL_AT_LOWW,London,Vienna,,794647,787631,759614,708757,794038,778613,731004,649011,695376,744948,709836,683950,708996,684659,649375,636117,658014,623626,623993,575899,573023,549900,521691,464814
PAS,PAS_CRD,UK_EGKK_US_KMCO,London,Orlando,,791669,737221,705046,661285,674233,633261,673435,736250,742538,686564,668338,738729,779499,765445,779654,840868,937801,892020,679662,596195,726533,758866,720642,743277
PAS,PAS_CRD,UK_EGKK_DK_EKCH,London,København,,777307,796504,734150,592672,489967,413836,353351,377955,195471,229045,208581,208014,168084,129641,144145,109407,,76272,167905,143534,157076,121033,153297,183087
PAS,PAS_CRD,UK_EGLL_TH_VTBS,London,Bangkok,,773105,599558,568774,635464,636840,579174,598080,599574,593428,672199,163889,,,,,,,,,,,,,
PAS,PAS_CRD,UK_EGGW_DK_EKCH,London,København,,767898,408623,,,,,,,,,,,,,,,,,,51915,,,,
PAS,PAS_CRD,UK_EGCC_ES_LEPA,Manchester,Palma De Mallorca,,758083,666735,654835,679964,647997,682801,500191,568537,718031,734916,808908,732640,814604,848198,780604,813807,777818,815695,852506,804199,722243,773001,836650,731455
PAS,PAS_CRD,UK_EGKK_IT_LIRF,London,Rome,,747132,741015,657862,544002,464828,477459,376632,427960,227246,153474,83630,136018,90369,171732,146638,280294,308947,183312,172885,125907,108833,98073,76374,75218
PAS,PAS_CRD,UK_EGLL_ES_LEBL,London,Barcelona,,745963,673519,610463,610402,737627,710318,605997,725109,791826,815263,773653,750134,744566,711997,743649,769684,712140,617418,590420,559626,525724,525892,501987,504229
PAS,PAS_CRD,UK_EGLL_EL_LGAV,London,EL_LGAV,,736458,699100,716268,669300,680472,735414,782040,666100,674538,699978,690593,724074,689635,662230,,,,694552,691349,,,,,
PAS,PAS_CRD,UK_EGKK_IT_LIPZ,London,Venice,,731801,657842,594689,575925,545671,441440,422295,442117,462320,446508,422440,400147,254085,293586,267738,376026,196810,165304,183372,207670,217893,213944,99505,
PAS,PAS_CRD,UK_EGLL_DE_EDDL,London,Düsseldorf,,718470,663142,623876,647023,623043,603883,541156,525712,556700,580686,599340,572473,613921,572999,562488,546178,580144,591206,609313,597298,623913,669708,588434,605805
PAS,PAS_CRD,UK_EGBB_AE_OMDB,Birmingham,Dubai,,704632,610649,528029,499898,473757,499973,497442,436761,395194,370012,308547,231175,186773,164999,162823,122208,,,,,,,,
PAS,PAS_CRD,UK_EGLL_NO_ENGM,London,Oslo,,702842,686856,695867,687346,665557,627039,592596,610789,603012,616072,616828,606696,606157,630353,692739,627712,722685,677046,144206,,,,,
PAS,PAS_CRD,UK_EGPH_UK_EGKK,Edinburgh,London,,702047,675632,693004,695766,695806,668015,602275,646658,702951,745142,750730,751248,736836,768771,676809,377634,367383,374045,368145,,,,,
PAS,PAS_CRD,UK_EGKK_UK_EGPH,London,Edinburgh,,700217,672894,690639,694088,697435,669246,604385,647930,704912,748342,754275,754160,738971,770988,679439,376614,364463,371936,367856,,,,,
PAS,PAS_CRD,UK_EGCC_ES_LEMG,Manchester,Málaga,,694406,556274,545042,496173,488623,453661,395420,534787,661133,642269,733273,733772,694469,788848,722108,692720,641781,584725,620381,581549,515410,530294,517175,426806
PAS,PAS_CRD,UK_EGLL_UK_EGAC,London,Belfast,,693937,684145,674732,671853,499215,428611,467826,522676,521913,626218,665656,730989,770055,784787,670837,99096,,,,,,,,
PAS,PAS_CRD,UK_EGLL_UK_EGCC,London,Manchester,,692960,776369,876597,797194,792967,766906,799181,908652,910041,973035,1087023,1265375,1401546,1385220,1305072,1283733,1309714,1185436,1134156,,,,,
PAS,PAS_CRD,UK_EGCC_UK_EGLL,Manchester,London,,689760,771743,872491,793542,788893,761658,794645,904249,907637,971956,1086657,1263292,1400935,1393287,1307301,1286034,1309873,1181088,1128725,,,,,
PAS,PAS_CRD,UK_EGAC_UK_EGLL,Belfast,London,,689067,678984,669920,665533,495571,424999,466944,521730,520370,624734,663180,728109,767795,749365,669500,98907,,,,,,,,
PAS,PAS_CRD,UK_EGLL_FI_EFHK,London,Helsinki,,677413,655532,638495,574414,551934,591919,578543,560243,561744,474203,441555,435622,437921,421953,439345,379425,388864,404678,374109,365627,,351920,332831,291408
PAS,PAS_CRD,UK_EGKK_UK_EGJJ,London,Saint Helier,,659091,649377,606004,537487,553861,574113,534303,556029,517899,525100,538343,521328,531234,545201,534081,509272,398465,367421,356746,,,,,
PAS,PAS_CRD,UK_EGLL_US_KDFW,London,Dallas-Fort Worth,,655590,637977,658449,662892,638989,557230,491105,473506,325968,,,,,,,,,,,,,,,
