unit,tra_meas,airp_pr,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
PAS,PAS_CRD,NO_ENGM_NO_ENAL,606046,589918,591266,599838,605239,585751,518824,482520,474894,468936,425822,364700,418583,380875,386224,:,:,:
PAS,PAS_CRD,NO_ENGM_NO_ENAT,169962,204855,196508,175200,162949,174208,190076,178936,227129,243418,242623,174099,178405,141629,113413,:,:,:
PAS,PAS_CRD,NO_ENGM_NO_ENBO,809277,756986,749874,735803,735308,733791,641070,604625,627002,638414,584564,449998,489759,458501,445788,:,:,:
PAS,PAS_CRD,NO_ENGM_NO_ENBR,1881726,1810781,1819220,1720519,1728386,1691634,1512429,1522030,1585465,1637429,1494195,1239568,1286934,1293282,1258696,:,:,:
PAS,PAS_CRD,NO_ENGM_NO_ENCN,510597,498225,503120,494954,485779,492383,444752,449071,463550,423746,411280,354707,383256,370257,399963,:,:,:
PAS,PAS_CRD,NO_ENGM_NO_ENDU,239391,226690,219613,210903,197485,166530,189045,174193,175473,176181,167656,126836,150590,149721,140890,:,:,:
PAS,PAS_CRD,NO_ENGM_NO_ENEV,579286,558013,558014,524771,519508,508159,473286,427838,424910,411744,377193,296611,329762,298464,286214,:,:,:
PAS,PAS_CRD,NO_ENGM_NO_ENHD,450566,437935,438262,434629,424181,421934,389658,364632,357814,339731,306884,234194,256860,260953,263641,:,:,:
PAS,PAS_CRD,NO_ENGM_NO_ENKB,181760,193148,202526,201015,186543,178600,170252,168730,164295,161649,151524,129617,138140,133633,142626,:,:,:
PAS,PAS_CRD,NO_ENGM_NO_ENKR,203632,183328,178931,174473,172289,182006,174018,166640,156917,135403,130989,99455,114390,98954,85769,:,:,:
PAS,PAS_CRD,NO_ENGM_NO_ENML,371564,370909,361716,342611,342331,335095,299863,252624,238951,271160,286662,223378,226710,214001,193581,:,:,:
PAS,PAS_CRD,NO_ENGM_NO_ENOV,81223,89974,96998,98851,91204,76137,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_NO_ENSB,92258,82028,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_NO_ENTC,1178188,1108686,1072669,1047881,1029944,954243,814036,790659,797054,802707,751378,591198,630499,617374,608910,:,:,:
PAS,PAS_CRD,NO_ENGM_NO_ENVA,1987743,1942761,1911712,1872478,1817731,1749184,1588995,1542642,1630407,1621288,1456330,1213590,1279201,1291815,1304716,:,:,:
PAS,PAS_CRD,NO_ENGM_NO_ENZV,1563869,1515630,1564631,1534920,1517000,1434043,1276253,1257354,1355210,1302691,1182034,948325,993397,984975,971925,:,:,:
PAS,PAS_CRD,NO_ENGM_PL_EPGD,109427,102423,90630,84598,77388,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_PL_EPKK,136026,118137,99272,88366,84092,85713,75490,:,84962,76903,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_PL_EPWA,91754,82564,:,:,:,:,:,79386,100879,135274,86186,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_PT_LPPT,109857,123738,113014,96591,82178,75891,75575,:,80647,91401,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_QA_OTBD,:,:,:,125209,89127,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_QA_OTHH,147430,129652,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_RU_UUEE,123698,115627,110559,112344,115256,80240,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_SE_ESGG,84702,:,:,:,:,:,:,:,76928,81128,79144,:,:,84269,95645,:,:,:
PAS,PAS_CRD,NO_ENGM_SE_ESSA,1387885,1338118,1354730,1204264,1187070,1153232,993791,955824,1030792,1038527,1010706,809236,839743,743465,811419,:,:,:
PAS,PAS_CRD,NO_ENGM_TH_VTBS,234737,228139,238625,200943,145744,130487,118896,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_TR_LTAI,105390,167383,169483,237066,253199,232263,177809,145893,117159,:,:,:,:,:,:,:,:,:
