unit,tra_meas,airp_pr,2017M06,2017M05,2017M04,2017M03,2017M02,2017M01,2016M12,2016M11,2016M10,2016M09,2016M08,2016M07,2016M06,2016M05,2016M04,2016M03,2016M02,2016M01,2015M12,2015M11,2015M10,2015M09,2015M08,2015M07,2015M06,2015M05,2015M04,2015M03,2015M02,2015M01,2014M12,2014M11,2014M10,2014M09,2014M08,2014M07,2014M06,2014M05,2014M04,2014M03,2014M02,2014M01,2013M12,2013M11,2013M10,2013M09,2013M08,2013M07,2013M06,2013M05,2013M04,2013M03,2013M02,2013M01,2012M12,2012M11,2012M10,2012M09,2012M08,2012M07,2012M06,2012M05,2012M04,2012M03,2012M02,2012M01,2011M12,2011M11,2011M10,2011M09,2011M08,2011M07,2011M06,2011M05,2011M04,2011M03,2011M02,2011M01,2010M12,2010M11,2010M10,2010M09,2010M08,2010M07,2010M06,2010M05,2010M04,2010M03,2010M02,2010M01,2009M12,2009M11,2009M10,2009M09,2009M08,2009M07,2009M06,2009M05,2009M04,2009M03,2009M02,2009M01,2008M12,2008M11,2008M10,2008M09,2008M08,2008M07,2008M06,2008M05,2008M04,2008M03,2008M02,2008M01,2007M12,2007M11,2007M10,2007M09,2007M08,2007M07,2007M06,2007M05,2007M04,2007M03,2007M02,2007M01,2006M12,2006M11,2006M10,2006M09,2006M08,2006M07,2006M06,2006M05,2006M04,2006M03,2006M02,2006M01,2005M12,2005M11,2005M10,2005M09,2005M08,2005M07,2005M06,2005M05,2005M04,2005M03,2005M02,2005M01,2004M12,2004M11,2004M10,2004M09,2004M08,2004M07,2004M06,2004M05,2004M04,2004M03,2004M02,2004M01,2003M12,2003M11,2003M10,2003M09,2003M08,2003M07,2003M06,2003M05,2003M04,2003M03,2003M02,2003M01,2002M12,2002M11,2002M10,2002M09,2002M08,2002M07,2002M06,2002M05,2002M04,2002M03,2002M02,2002M01
PAS,PAS_CRD,NO_ENKB_NO_ENBR,4259,4547,4076,4399,4153,4032,3809,3734,3773,4038,4355,4249,4423,4350,3722,4469,4067,4039,5084,4938,5359,5524,5928,5571,6140,6293,5987,5506,4890,5080,5063,5452,6262,6222,5529,4972,6873,6329,6301,6185,5784,6148,5720,6397,7293,7055,5945,5301,6474,6444,6671,5763,6462,7057,6276,6556,7363,6856,6476,5992,5290,7919,6012,6177,5961,6700,6065,6188,6000,6059,6051,5366,6757,6868,6267,6256,5386,5956,5921,6328,6485,6578,6351,5251,6132,6751,4658,5872,5741,5878,6368,6183,6794,6680,6924,6328,7216,7089,5963,6404,5605,6331,5705,6069,7093,7005,5926,5340,7076,5488,6685,5406,5780,6439,5814,5616,7162,6274,5989,5485,6541,6797,5993,5629,5647,5814,5746,5728,6440,5503,5483,4681,5846,6213,4661,4789,4676,4667,4983,5022,5506,5360,4840,1650,1206,5725,5056,4112,4563,3897,4523,4311,4878,4212,4233,4382,5043,3834,4177,4470,4082,4255,3858,4896,5090,4405,4613,5447,5180,4445,4127,4028,3953,4018,3988,4841,5320,5068,4920,4652,5011,4851,5207,4867,4787,4855
PAS,PAS_CRD,NO_ENKB_NO_ENGM,16031,16158,13062,15060,11840,12285,14166,14821,16432,16510,15241,13839,17222,16860,14745,14684,14088,12591,13753,15657,17713,17576,16350,16468,18662,17239,16208,15852,14041,13529,14199,16110,18558,18272,17973,17542,20277,17871,16904,16938,14170,13434,15347,17660,18696,18896,17523,16258,17705,18976,17426,14852,14313,12876,14058,16354,18287,17463,14677,14508,14695,17938,14698,14810,15372,13321,14827,16163,16936,16175,13996,13371,15475,16166,14791,14871,13450,12105,13238,14296,15980,16245,15621,14558,16162,16190,11186,13673,12324,10575,13250,14270,15642,14549,14790,14487,16428,15500,13692,13407,11922,10751,12091,12314,15709,14917,14552,15330,15260,12950,13684,12865,12440,12183,11728,12927,14884,13434,15031,14996,14934,14610,12474,11995,12232,12404,11939,13094,14004,12435,13293,13970,13718,13461,10483,12990,11742,10395,11251,12634,14012,13795,12818,4803,3185,13654,12815,10454,10725,9471,11613,10419,12805,11030,11928,13191,13422,11321,10407,11571,10511,9922,10265,11095,11882,11292,11037,12167,12416,11800,10564,10573,10461,10081,10136,11875,13351,12803,12429,13099,12962,12187,11529,10982,10913,10360
PAS,PAS_CRD,NO_ENKB_NO_ENVA,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,891,1346,1589,1440,1260,1115,1208,1040,1293,1188,1321,1418,1144,1458,1445,1196,1280,1029,1039,1486,1302,1401,1295,1273,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENKB_NO_ENZV,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1374,1609,1823,1413,1336,722,1739,1747,1225,1556,1407,698,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENKR_NO_ENGM,22354,19252,17320,16533,14830,13458,14383,13152,17464,19362,22465,23258,20817,20092,14961,16068,14363,7247,10392,9223,15675,18645,21200,23772,22263,19669,15894,11340,7819,7436,8202,8666,15588,20062,20501,22623,21561,18468,16105,11928,8527,6961,8093,9169,16460,18489,20271,23033,20317,19682,16186,9084,7089,6600,6774,7851,14543,17084,20538,22282,19402,19159,14638,13821,9207,7119,6922,7219,16024,18241,20597,22631,20351,17900,14939,15924,11510,10083,10063,10983,15018,16755,19809,21495,18826,15926,10276,14930,10835,9102,9750,10358,14321,16313,18859,22074,19392,15453,14081,13356,6288,6395,8263,8968,12184,15805,17706,22480,18159,13023,10801,11767,10021,7740,7628,8570,10307,12395,16599,21109,13634,12344,9380,9920,7484,6033,7139,6186,9664,11731,16445,19952,15060,11506,8863,9285,8142,7016,7719,7456,9847,10934,15416,7367,2730,11599,8604,7784,5595,4404,6084,5106,9298,10039,15138,17311,14381,10420,8428,7471,6008,4706,5154,6294,7703,8106,11844,13609,11689,8647,8136,6868,5267,5637,5489,5227,6720,7887,11010,13349,10162,8056,5921,4551,3606,3791
PAS,PAS_CRD,NO_ENKR_NO_ENSS,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2303,1166,1217,1209,1408,1271,967,1388,1053,1365,915,1001,2924,1167,1298,1366,1342,998,1119,1180,1161,1172,969,949,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENKR_NO_ENTC,3472,3371,3130,4510,4493,4294,3490,3878,3536,3386,3224,2771,3625,2849,2856,3556,4089,7977,7724,8341,4819,3417,3176,2963,3248,2776,2681,7038,8693,8096,7433,8763,4970,4322,3919,3627,4380,3556,3539,7755,7842,8638,7943,7383,4155,3575,3817,3423,3716,4533,4661,8877,9406,8182,7769,8171,4330,3805,4025,3429,3478,3665,2928,7503,8542,7811,7628,8405,3931,3489,3605,2511,3357,3059,2547,3091,3551,3560,2395,2888,3420,3672,4074,2884,3772,3056,2158,3147,3476,3489,3056,4116,3745,3313,3496,3053,3565,3303,2873,3222,3603,3722,3743,4832,4352,4293,3544,2743,4214,4523,4668,3997,4144,4063,3421,4114,4623,4676,4819,3228,4795,4515,4153,4087,4158,4556,4223,5165,4451,4330,4721,3534,4716,4490,4008,4136,3980,3750,3929,4263,4293,4360,4212,1721,982,4315,3766,3726,4775,3789,3970,4653,4483,3400,4241,3826,4031,3513,4046,3842,4029,4121,4779,4724,5661,5134,5650,5611,5785,4772,4908,6299,5245,5470,5339,5877,6974,7201,7214,8137,7550,6887,6729,8099,7198,6738
PAS,PAS_CRD,NO_ENKR_NO_ENVD,2850,2665,2315,2852,2498,2458,2506,2919,3233,3091,2969,2621,2902,2822,2899,1441,2224,2249,2279,2851,3158,3021,2913,2660,2865,2728,2559,2851,2178,2282,2157,2560,2731,2957,2657,2364,2756,2635,2448,2797,2365,2326,1925,2688,3057,2997,3010,2662,2681,410,1737,2357,2383,2429,2104,2613,3124,2868,3160,2978,2734,2946,2528,2761,2783,2501,2040,2497,3019,2924,3078,2962,2784,2813,2568,2970,2695,2408,2327,2557,2993,2851,3191,2695,2802,2584,1912,3186,2704,2599,2328,2812,3270,3005,2911,2758,2680,2711,2619,3160,2616,2347,2166,2451,2808,2826,2652,2167,2381,2391,2309,2402,2424,2124,2159,2735,2833,2558,2295,1954,1787,2032,2067,2375,1885,1995,1826,2069,2518,2097,1910,1728,2163,2288,2005,2310,1969,1825,1800,2120,2285,2239,1752,527,532,1874,2305,1927,1881,1567,1757,1872,2511,1931,2096,1689,2285,1924,2094,2538,2186,1866,2004,2318,2297,2166,2230,1943,2111,1997,2194,2146,2049,1867,1934,2213,2420,2349,2253,1865,2005,2156,2266,2084,2082,2052
PAS,PAS_CRD,NO_ENLK_NO_ENBO,:,:,:,:,:,:,7218,7966,8738,8886,9768,9652,9592,8666,8133,8552,7847,6531,7039,7511,8235,8505,8294,9214,8557,7102,7108,8573,6528,6648,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5964,6581,7583,7530,7109,8356,8320,6630,6939,6634,6297,6293,6270,6847,7988,7132,7683,8565,8068,7571,7146,7525,6054,5831,5929,6766,7635,7169,7208,8712,7682,7225,5794,7070,5907,5891,5995,6392,7027,6871,6271,2579,1672,6640,6113,5790,5473,4665,5767,5505,6866,6075,6582,7101,7528,6358,5782,7088,6143,5491,5170,6196,6963,6115,6328,7054,6940,6534,5818,6763,5350,5217,5342,6496,7238,7153,7068,7733,6805,6614,6203,6029,5396,5758
PAS,PAS_CRD,NO_ENML_NO_ENBR,3792,4387,3948,3957,3434,3925,3964,4051,4724,4211,4368,4666,4383,4692,3916,4601,3950,4187,4691,5189,6043,5235,4964,4683,5259,5468,5133,5598,4162,4329,4882,5603,6099,5161,5021,5306,5782,5308,5154,5794,5383,5225,4952,5706,6166,6059,5231,5338,5095,5164,5781,4718,4748,4710,4849,5237,5977,5339,5443,4539,5698,5648,4956,4943,4676,4239,4122,4596,4804,4951,4271,4221,4828,5240,4899,5170,4411,4315,4545,5084,5873,5290,4716,3875,4190,4953,3459,4969,4358,3932,4124,4981,5401,5050,4386,4267,5709,5345,4898,5128,4676,4203,4228,4812,6197,5845,4724,5014,5872,4706,5545,4627,5134,4596,4613,5700,6048,5561,5008,5460,6342,6333,5708,5871,5167,5314,4998,6715,7200,6683,6299,5682,6158,6033,4823,5596,4723,4863,4761,4775,5443,5304,4659,1769,1168,4698,4228,3489,4079,3501,4006,4062,4595,3862,4269,4010,4794,4321,3948,4553,3758,3588,3455,4280,5036,4601,3972,3571,4504,4382,4399,4321,4016,3900,3576,4336,5061,4503,4150,4391,4552,3933,4699,4092,4278,4023
PAS,PAS_CRD,NO_ENML_NO_ENGM,31460,32950,28945,29777,26392,26207,26924,31023,35942,35031,31255,29514,33877,34207,30095,30328,28142,24916,26895,31646,36302,33123,30948,33563,35070,33949,29915,27817,26260,25357,26237,32375,35069,32532,29690,30157,34719,32924,29856,28087,25425,24026,25039,31501,33135,30491,27797,27883,29128,31857,29553,26531,24811,24297,24220,29480,34040,31181,28597,27990,30473,31809,26225,28308,25738,23714,25037,28849,31656,32039,27575,29117,31264,29681,26324,28425,22900,21883,23074,26701,31827,29096,27187,27125,21496,27252,18681,24841,22387,19852,22306,27768,27889,26736,20165,18669,20753,19236,18543,18646,16801,15048,15961,17499,22615,22417,19537,19834,22885,19374,22581,19293,19441,17514,18166,21880,24342,23603,21668,21750,24435,24329,22635,24613,21504,22235,21614,27189,28854,26828,26102,23398,24976,25282,18809,24672,19866,19072,19586,24120,24436,23926,21111,8077,5929,23309,22152,16570,18500,15662,17278,18223,22869,17592,18969,19340,21718,20292,17110,20249,18128,14942,17148,20188,22163,19201,17842,17093,19741,18707,15982,16195,15438,14303,14599,17824,19637,17662,17010,17928,17585,17222,15961,12550,13626,11977
PAS,PAS_CRD,NO_ENML_NO_ENVA,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1458,2318,2063,2173,1248,:,1887,1908,1587,2522,1975,1986,1889,2313,2592,2498,1243,:,2335,1691,2486,1804,2147,1969,1879,2772,2424,2268,1649,1247,2151,2271,1860,2495,2419,2464,2081,2887,2735,2607,2340,1650,2381,2573,1821,3012,2335,2491,1980,2702,2666,2432,1816,508,623,2404,2618,1844,2260,2177,1845,2314,2711,1980,1850,1646,2249,1961,1851,2574,1941,1836,1409,2325,2387,2235,1605,1360,2063,2080,1909,2266,2085,2164,1585,2419,2577,2258,1737,1753,1919,1676,2074,1991,2141,2019
PAS,PAS_CRD,NO_ENML_PL_EPGD,:,:,:,:,:,:,1651,2526,2662,2399,2709,2881,2688,2422,1950,2072,2042,1289,1480,1888,2207,2029,2601,2863,2571,2300,1930,243,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENMS_NO_ENBO,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1231,1352,1626,1521,1225,1029,1713,1166,1787,1560,1592,1610,1464,1609,1851,1588,1360,1196,1806,1690,1485,1807,1718,1555,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1294,1940,1759,1742,1338,1547,1935,1438,1639,1566,1583,1202,1312,1836,1863,1653,1136,870,1502,1462,1685,1445,1267,1454
PAS,PAS_CRD,NO_ENMS_NO_ENRA,:,:,:,:,:,:,774,1241,1201,1207,967,827,1234,1148,1170,987,998,1064,905,1127,1192,1153,929,764,1199,1076,878,1128,750,813,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,907,842,1120,1051,873,1525,1164,826,1190,1088,936,870,895,1048,1091,1027,823,1194,1080,929,781,1067,907,830,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,932,1375,1360,1391,1081,1163,1599,1259,1435,958,1121,746,985,1161,1375,1186,924,774,1109,1125,1150,879,922,848
PAS,PAS_CRD,NO_ENMS_NO_ENVA,:,:,:,:,:,:,2494,3388,3129,3176,2502,1875,2827,2978,3033,3284,2956,2596,2768,3354,3182,3278,2608,2003,2982,3107,2780,3156,2706,2955,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3052,3258,4339,4064,3468,3569,3986,3396,3941,3628,3687,3594,3532,3952,4172,3660,3973,3963,4400,3987,3588,4172,3473,3381,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2596,3418,4018,3463,3533,3741,3745,3185,3232,3713,3460,3188,3100,4142,4279,3934,3702,3402,3813,3638,3942,2818,3152,3141
PAS,PAS_CRD,NO_ENOV_NO_ENBR,:,:,:,:,:,:,1107,1156,1232,1105,1123,1251,1175,1114,1088,1108,1164,1137,1250,1307,1370,1188,1062,229,1196,1180,1156,1767,1519,1434,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENOV_NO_ENGM,:,:,:,:,:,:,6087,7009,7165,7051,5554,5483,6387,6553,6228,7157,7236,7110,6831,7446,8337,7842,6994,6301,7585,7345,7384,8049,6793,6589,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4826,5708,6046,6171,4830,4495,5773,5599,5932,4583,3145,3369,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENOV_NO_ENSG,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1306,1258,1548,1288,1587,1814,1543,1227,1380,1369,1223,1246,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRA_NO_ENBO,:,:,:,:,:,:,3008,4701,4826,4691,3763,2693,4359,4223,4245,3843,3782,3597,3411,4662,5046,4783,3734,2827,4433,3859,3860,4178,2904,3112,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2996,3654,4380,4343,3115,2628,4223,2976,4420,3517,3716,3619,3240,4444,4463,4187,3364,2577,4107,3884,3305,4080,3653,3246,2918,3924,4002,3556,3405,2305,3678,3748,3169,3921,3295,2785,2612,3611,3534,3521,2806,616,941,3275,3814,2946,3116,2401,2187,3118,3626,2864,2757,1732,3511,2779,2863,3360,3063,3062,2554,3588,3699,3643,2698,2119,3429,3237,3364,3278,3051,2568,2678,3855,4143,3550,2629,2093,3282,3110,3456,3133,3041,3252
PAS,PAS_CRD,NO_ENRA_NO_ENMS,:,:,:,:,:,:,1031,1593,1730,1723,1676,1378,1672,1560,1604,1590,1566,1432,1314,1617,1630,1708,1598,1376,1695,1415,1222,1748,1094,1078,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,907,842,1120,1051,873,1525,1164,826,1190,1088,936,870,895,1048,1091,1027,823,1194,1080,929,781,1067,907,830,677,918,974,889,839,1145,913,1114,1195,1177,1021,643,865,994,1086,1119,981,434,270,975,1138,907,995,740,744,885,1245,952,886,1053,1258,1042,1084,1052,890,951,932,1375,1360,1391,1081,1163,1599,1259,1435,958,1121,746,985,1161,1375,1186,924,774,1109,1125,1150,879,922,848
PAS,PAS_CRD,NO_ENRA_NO_ENVA,:,:,:,:,:,:,1969,2807,3034,2747,2709,1361,2636,2739,2795,2568,3036,2555,2216,2804,2945,2828,2348,1714,2668,2414,2136,3014,2105,2146,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3391,3863,4986,4693,4005,3551,4733,3435,4529,3960,4106,3594,3389,4229,4664,4342,4059,3587,4389,4065,3413,4102,3420,3393,3151,3959,3933,3926,3459,3090,4087,4039,3508,3981,3284,2918,2941,3673,3795,3888,3710,1526,938,3662,3836,3183,3397,2708,2864,3285,4355,3081,3890,3430,4127,3430,3302,3673,3084,3307,2852,4125,4423,4199,3934,4112,4308,3848,3624,3934,3367,3087,2880,4141,4199,4217,3945,3590,4149,3545,3669,3270,3248,3158
PAS,PAS_CRD,NO_ENRY_BE_EBCI,:,:,:,:,:,:,:,:,3959,2578,2917,3149,3783,3603,3484,3515,3443,2939,2915,2780,4102,3753,4082,4550,3905,3895,3630,3084,3137,3078,3049,2799,4259,4378,5236,6032,4793,3702,4336,4096,4124,3987,4923,4547,4765,4535,6058,6689,4744,4925,5079,4787,3723,3211,4314,4416,6483,5604,5065,6001,5885,6004,6845,5400,5077,4412,6328,5724,7065,5414,7208,9581,7378,5856,6886,4715,3940,3564,4804,5350,6432,5220,6410,8694,5702,5476,4237,4078,4399,3536,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_CZ_LKPR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1455,1633,1880,1730,1948,2376,1833,1857,1867,1619,1206,1260,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_DE_EDDB,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3497,2350,4199,4191,5038,5473,4682,3678,3968,3955,3997,3334,5461,4237,3881,4110,4326,5273,3888,4470,3733,4778,3995,3503,5412,3854,4325,4107,4623,5746,4299,5195,6882,5676,4862,4351,6320,5213,7504,5966,5679,7902,7472,6198,6700,4802,4020,3813,5976,4725,6936,5305,5717,7233,5222,5848,4192,1706,1217,1151,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_DE_EDFH,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2548,1917,2570,2712,3552,4313,3151,2997,2417,1645,:,:,:,:,2723,2840,3890,4230,3191,2667,2861,2536,2337,2030,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
